prompt_type,response,is_correct,shows_bug,begin_output_contribution,format_output_contribution,number_output_contribution,total_norm,decimal_pair
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
simple,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.1",True,False,0.03956367924528302,0.5941332547169811,0.3659492924528302,33.125,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
qa,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True,0.03615301724137931,0.6360991379310345,0.32817887931034484,36.25,9.8 vs 9.11
